env_id,mjx_port_status,paper_tdmpc2_target,clean_no_rhs_score,clean_no_rhs_best,clean_no_rhs_job,clean_no_rhs_runtime,clean_no_rhs_status,clean_dense_rhs_score,clean_dense_rhs_best,clean_dense_rhs_job,clean_dense_rhs_runtime,clean_dense_rhs_horizon_path,clean_dense_rhs_status,chaos_no_rhs_score,chaos_no_rhs_best,chaos_no_rhs_job,chaos_no_rhs_runtime,chaos_no_rhs_status,chaos_dense_rhs_score,chaos_dense_rhs_best,chaos_dense_rhs_job,chaos_dense_rhs_runtime,chaos_dense_rhs_horizon_path,chaos_dense_rhs_status,confirmation_seeds,next_required_action,status
fish-swim,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
finger-turn_hard,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
cheetah-run,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
cartpole-swingup,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
quadruped-run,ready,TBD,924.65 +/- 16.91,924.65,1179,01:15:58,complete_single_seed,922.63 +/- 21.34,922.63,1663,01:31:18,3->3->3->3->3,selected_winner_single_seed,505.27 +/- 35.01,590.17,1715,01:30:18,complete_single_seed_current_mjx,,,,,,pending,"1,3,5,7,15",approve_table_then_fill_missing_cells,pending_table_approval
acrobot-swingup,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
walker-run,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
hopper-hop,pending_port,TBD,,,,,pending,,,,,,pending,,,,,pending,,,,,,pending,"1,3,5,7,15",approve_table_then_run_mjx_port_gate,pending_table_approval
