step,tag,value
14016,train/policy_log_std_std,0.6069774856316069
14016,train/policy_loss_mean,-0.6957350066675546
14016,train/policy_loss_std,0.09757730476296539
14016,train/reward_loss_mean,0.2534078377218673
14016,train/reward_loss_std,0.0074684678748903575
14016,train/total_loss_mean,0.050579407618354305
14016,train/total_loss_std,0.001661853044950023
14016,train/value_loss_mean,0.2462763211692865
14016,train/value_loss_std,0.012890184568893551
14016,train/value_scale_mean,22.838709279752006
14016,train/value_scale_std,1.873786734484076
14016,timing/collect_chunk_s,112.47962857037783
14016,timing/train_chunk_s,4.484467627480626
14016,dense_rhs/training_bucket_horizon,3.0
14016,system/heartbeat,1.0
15000,eval/return_mean,683.8250732421875
15000,eval/return_std,7.30444860458374
15000,eval/return_max,692.8338623046875
15000,eval/return_min,670.5950927734375
15000,timing/eval_s,6.5319409389048815
15000,eval/selected_horizon,3.0
15000,eval/training_bucket_horizon,3.0
15000,system/heartbeat,1.0
15992,episode/return,544.6407470703125
15992,episode/length,500.0
15993,episode/return,263.9523010253906
15993,episode/length,500.0
15994,episode/return,305.09539794921875
15994,episode/length,500.0
15995,episode/return,327.2586364746094
15995,episode/length,500.0
15996,episode/return,350.3433532714844
15996,episode/length,500.0
15997,episode/return,360.5522155761719
15997,episode/length,500.0
15998,episode/return,341.2438049316406
15998,episode/length,500.0
15999,episode/return,361.4115905761719
15999,episode/length,500.0
16520,train/consistency_loss_mean,1.9949919162765362e-05
16520,train/consistency_loss_std,4.572203002981914e-06
16520,train/continue_loss_mean,0.0
16520,train/continue_loss_std,0.0
16520,train/grad_norm_mean,0.16292393378937206
16520,train/grad_norm_std,0.0621509754350264
16520,train/policy_log_std_mean,-1.3693491555631352
16520,train/policy_log_std_std,0.6501206945555076
16520,train/policy_loss_mean,-0.6123425899603115
16520,train/policy_loss_std,0.0728221454987405
16520,train/reward_loss_mean,0.2586237154067896
16520,train/reward_loss_std,0.007269039626461731
16520,train/total_loss_mean,0.054027809681126866
16520,train/total_loss_std,0.00192421246608491
16520,train/value_loss_mean,0.27766438299855484
16520,train/value_loss_std,0.017196019195695796
16520,train/value_scale_mean,31.707930446051943
16520,train/value_scale_std,5.119335129728505
16520,timing/collect_chunk_s,110.82090163044631
16520,timing/train_chunk_s,4.480690209195018
16520,dense_rhs/training_bucket_horizon,3.0
16520,system/heartbeat,1.0
19024,train/consistency_loss_mean,2.2834752203830438e-05
19024,train/consistency_loss_std,5.319604203431642e-06
19024,train/continue_loss_mean,0.0
19024,train/continue_loss_std,0.0
19024,train/grad_norm_mean,0.22409327190143233
19024,train/grad_norm_std,0.10487683814850132
19024,train/policy_log_std_mean,-1.203459358253418
19024,train/policy_log_std_std,0.676776908934884
19024,train/policy_loss_mean,-0.442333514317156
19024,train/policy_loss_std,0.021796563250567915
19024,train/reward_loss_mean,0.26319397752658247
19024,train/reward_loss_std,0.007383632436641862
19024,train/total_loss_mean,0.055936929088431044
19024,train/total_loss_std,0.0014604050407155706
19024,train/value_loss_mean,0.2916083512976528
19024,train/value_loss_std,0.011982452309144194
19024,train/value_scale_mean,54.89153821171282
19024,train/value_scale_std,5.597040212121674
19024,timing/collect_chunk_s,110.66673477739096
19024,timing/train_chunk_s,4.449030706658959
19024,dense_rhs/training_bucket_horizon,3.0
19024,system/heartbeat,1.0
19992,episode/return,606.6452026367188
19992,episode/length,500.0
19993,episode/return,609.2899780273438
19993,episode/length,500.0
19994,episode/return,602.8533935546875
19994,episode/length,500.0
19995,episode/return,608.6561279296875
19995,episode/length,500.0
19996,episode/return,607.5490112304688
19996,episode/length,500.0
19997,episode/return,604.2691650390625
19997,episode/length,500.0
19998,episode/return,608.3999633789062
19998,episode/length,500.0
19999,episode/return,607.2136840820312
19999,episode/length,500.0
20000,eval/return_mean,666.9368896484375
20000,eval/return_std,1.5198618173599243
20000,eval/return_max,668.7438354492188
20000,eval/return_min,663.6807250976562
20000,timing/eval_s,6.247149560600519
20000,eval/selected_horizon,3.0
20000,eval/training_bucket_horizon,3.0
20000,system/heartbeat,1.0
21528,train/consistency_loss_mean,1.9149405134361262e-05
21528,train/consistency_loss_std,4.794793683065548e-06
21528,train/continue_loss_mean,0.0
21528,train/continue_loss_std,0.0
21528,train/grad_norm_mean,0.19597094520307579
21528,train/grad_norm_std,0.08727320290595254
21528,train/policy_log_std_mean,-1.2411603211594846
21528,train/policy_log_std_std,0.6783628414045808
21528,train/policy_loss_mean,-0.497546897052576
21528,train/policy_loss_std,0.020185849353738242
21528,train/reward_loss_mean,0.26668130237454424
21528,train/reward_loss_std,0.006936597108799511
21528,train/total_loss_mean,0.05508102774143981
21528,train/total_loss_std,0.0015899072343655818
21528,train/value_loss_mean,0.2802990955857042
21528,train/value_loss_std,0.014464754724937919
21528,train/value_scale_mean,61.2916659760399
21528,train/value_scale_std,1.9076127196713695
21528,timing/collect_chunk_s,111.49895421974361
21528,timing/train_chunk_s,4.452073002234101
21528,dense_rhs/training_bucket_horizon,3.0
21528,system/heartbeat,1.0
23992,episode/return,553.9216918945312
23992,episode/length,500.0
23993,episode/return,559.1126708984375
23993,episode/length,500.0
23994,episode/return,560.9141235351562
23994,episode/length,500.0
23995,episode/return,558.0516357421875
23995,episode/length,500.0
23996,episode/return,559.77783203125
23996,episode/length,500.0
23997,episode/return,560.4027099609375
23997,episode/length,500.0
23998,episode/return,557.568359375
23998,episode/length,500.0
23999,episode/return,563.9132690429688
23999,episode/length,500.0
24032,train/consistency_loss_mean,1.753410270349543e-05
24032,train/consistency_loss_std,6.339619358593213e-06
24032,train/continue_loss_mean,0.0
24032,train/continue_loss_std,0.0
24032,train/grad_norm_mean,0.20426410386642327
24032,train/grad_norm_std,0.10917859513609254
24032,train/policy_log_std_mean,-1.2585942914691597
24032,train/policy_log_std_std,0.7082566535702233
24032,train/policy_loss_mean,-0.5446307733416939
24032,train/policy_loss_std,0.043028336567577694
24032,train/reward_loss_mean,0.26881676093457985
24032,train/reward_loss_std,0.006980582559557685
24032,train/total_loss_mean,0.05409495158793446
24032,train/total_loss_std,0.0012409735473314812
24032,train/value_loss_mean,0.2686259219059929
24032,train/value_loss_std,0.010184629864522622
24032,train/value_scale_mean,68.96641642902605
24032,train/value_scale_std,1.9244359686644814
24032,timing/collect_chunk_s,111.99336064048111
24032,timing/train_chunk_s,4.446542186662555
24032,dense_rhs/training_bucket_horizon,3.0
24032,system/heartbeat,1.0
25000,eval/return_mean,831.3396606445312
25000,eval/return_std,1.0941790342330933
25000,eval/return_max,833.5398559570312
25000,eval/return_min,829.84326171875
25000,timing/eval_s,6.280002212151885
25000,eval/selected_horizon,3.0
25000,eval/training_bucket_horizon,3.0
25000,system/heartbeat,1.0
26536,train/consistency_loss_mean,1.2813083079768889e-05
26536,train/consistency_loss_std,3.3012922953078293e-06
26536,train/continue_loss_mean,0.0
26536,train/continue_loss_std,0.0
26536,train/grad_norm_mean,0.13081936669140198
26536,train/grad_norm_std,0.05592902370291789
26536,train/policy_log_std_mean,-1.0408567835728582
26536,train/policy_log_std_std,0.5669858481769369
26536,train/policy_loss_mean,-0.5645770057321737
26536,train/policy_loss_std,0.04364686131791678
26536,train/reward_loss_mean,0.2600848399602567
26536,train/reward_loss_std,0.007349550917522273
26536,train/total_loss_mean,0.05152331629452614
26536,train/total_loss_std,0.0015909616166443336
26536,train/value_loss_mean,0.2525856879572518
26536,train/value_loss_std,0.0145027503022184
26536,train/value_scale_mean,75.43495704724005
26536,train/value_scale_std,7.611539375437575
26536,timing/collect_chunk_s,111.29519000649452
26536,timing/train_chunk_s,4.447975013405085
26536,dense_rhs/training_bucket_horizon,3.0
26536,system/heartbeat,1.0
27992,episode/return,575.0977172851562
27992,episode/length,500.0
27993,episode/return,571.9086303710938
27993,episode/length,500.0
27994,episode/return,574.8515625
27994,episode/length,500.0
27995,episode/return,571.5859985351562
27995,episode/length,500.0
27996,episode/return,574.4690551757812
27996,episode/length,500.0
27997,episode/return,574.166015625
27997,episode/length,500.0
27998,episode/return,572.5679931640625
27998,episode/length,500.0
27999,episode/return,571.3584594726562
27999,episode/length,500.0
29040,train/consistency_loss_mean,1.4284763535241613e-05
29040,train/consistency_loss_std,4.131343916601847e-06
29040,train/continue_loss_mean,0.0
29040,train/continue_loss_std,0.0
29040,train/grad_norm_mean,0.1483815317622389
29040,train/grad_norm_std,0.07430911760627969
29040,train/policy_log_std_mean,-1.2760675349555457
29040,train/policy_log_std_std,0.7175981574725099
29040,train/policy_loss_mean,-0.5341828572102629
29040,train/policy_loss_std,0.014571297625968446
29040,train/reward_loss_mean,0.2609237776206324
29040,train/reward_loss_std,0.007344463367408545
29040,train/total_loss_mean,0.05109388525255572
29040,train/total_loss_std,0.0015717195810166392
29040,train/value_loss_mean,0.247158111617588
29040,train/value_loss_std,0.014131224334668417
29040,train/value_scale_mean,86.4535294554104
29040,train/value_scale_std,2.7666032750683804
29040,timing/collect_chunk_s,111.79024490900338
29040,timing/train_chunk_s,4.450475098565221
29040,dense_rhs/training_bucket_horizon,3.0
29040,system/heartbeat,1.0
30000,eval/return_mean,754.6090087890625
30000,eval/return_std,0.5646823048591614
30000,eval/return_max,755.036376953125
30000,eval/return_min,752.984619140625
30000,timing/eval_s,6.23108334466815
30000,eval/selected_horizon,3.0
30000,eval/training_bucket_horizon,3.0
30000,system/heartbeat,1.0
31544,train/consistency_loss_mean,1.3078099967993292e-05
31544,train/consistency_loss_std,3.260093523608188e-06
31544,train/continue_loss_mean,0.0
31544,train/continue_loss_std,0.0
31544,train/grad_norm_mean,0.15289807307739228
31544,train/grad_norm_std,0.07363054415841987
31544,train/policy_log_std_mean,-1.3378487615920485
31544,train/policy_log_std_std,0.7212697235248005
31544,train/policy_loss_mean,-0.49765632223016537
31544,train/policy_loss_std,0.011731352832498721
31544,train/reward_loss_mean,0.2615746701487337
31544,train/reward_loss_std,0.007277244899349344
31544,train/total_loss_mean,0.05404971222193858
31544,train/total_loss_std,0.0011299320645019103
31544,train/value_loss_mean,0.27630682075366425
31544,train/value_loss_std,0.0086184799902698
