profile,controller,normalized_return_auc,delayed_phase_auc,final_clean_return,mean_reference_oracle_regret,mean_reference_oracle_regret_fraction,mean_score_return_rank_correlation,mean_query_compute_s
b1,fixed_h2,514.4969395423423,303.2086203016084,824.718184037642,29.493489583333332,0.09449137175473993,0.7071428571428573,63.1479044219479
b2,fixed_h3,486.21734728131975,263.26034664285595,831.281815962358,22.545572916666668,0.1900512851721533,0.5107142857142858,63.033749440871176
b3,delay_match,464.8377536073023,251.19654938270307,766.1181862571023,13.34765625,0.05852096802379972,0.6785714285714286,68.52633678093552
b4,causal_coverage,462.6448964683377,223.52758673963876,819.8454534357244,75.70833333333333,0.20469382086140228,0.5964285714285716,70.99554841779172
b5,return_argmax,546.4530598387427,359.2758616743417,837.2909046519886,7.8203125,0.02393285414801968,1.0,261.80282151382414
