profile,step,delay,horizon,deployed_horizon,counterfactual_horizon,env_mean,env_std,decision_score,deployment_score,return_term,roughness_term,return_std_term,conditional_reference_mean
b1,36000,0,2,2,2,335.625,84.46920776367188,0.0,0.0,0.0,-0.0,-0.0,837.1484375
b1,36000,0,3,2,2,336.28125,86.66502380371094,-1.4418691396713257,-1.4418691396713257,0.013124999590218067,-1.4110777378082275,-0.04391631856560707,838.890625
b1,36000,0,4,2,2,337.71875,86.11991119384766,-1.854390025138855,-1.854390025138855,0.041874997317790985,-1.863250970840454,-0.03301406651735306,840.8359375
b1,36000,0,5,2,2,336.625,90.30667877197266,-2.4054999351501465,-2.4054999351501465,0.019999999552965164,-2.3087503910064697,-0.11674942076206207,840.2265625
b1,36000,0,6,2,2,335.34375,91.63773345947266,-2.8234710693359375,-2.8234710693359375,-0.005624999757856131,-2.6744754314422607,-0.14337050914764404,837.6875
b1,36000,0,7,2,2,335.59375,91.229736328125,-3.312837600708008,-3.312837600708008,-0.0006249999860301614,-3.177002191543579,-0.1352105736732483,838.234375
b1,36000,0,8,2,2,334.5,92.39825439453125,-3.676328420639038,-3.676328420639038,-0.022499999031424522,-3.4952473640441895,-0.1585809290409088,838.7890625
b1,38000,2,2,2,2,345.46875,84.31488037109375,0.0,0.0,0.0,-0.0,-0.0,
b1,38000,2,3,2,2,187.53125,53.42692565917969,-3.5517802238464355,-3.5517802238464355,-3.15874981880188,-1.0107898712158203,0.617759108543396,
b1,38000,2,4,2,2,147.40625,63.449222564697266,-5.459977626800537,-5.459977626800537,-3.961249828338623,-1.9160408973693848,0.4173131585121155,
b1,38000,2,5,2,2,81.59375,30.273605346679688,-6.878955841064453,-6.878955841064453,-5.277499675750732,-2.682281494140625,1.0808254480361938,
b1,38000,2,6,2,2,71.75,28.747825622558594,-7.710266590118408,-7.710266590118408,-5.474374771118164,-3.3472328186035156,1.111341118812561,
b1,38000,2,7,2,2,59.34375,23.634733200073242,-8.452126502990723,-8.452126502990723,-5.722499847412109,-3.943230152130127,1.213602900505066,
b1,38000,2,8,2,2,63.3125,36.39663314819336,-9.17557144165039,-9.17557144165039,-5.643125057220459,-4.490810394287109,0.9583649039268494,
b1,40000,2,2,2,2,309.6875,125.41865539550781,0.0,0.0,0.0,-0.0,-0.0,674.9140625
b1,40000,2,3,2,2,319.8125,120.9200210571289,-0.2887253165245056,-0.2887253165245056,0.20250000059604645,-0.58119797706604,0.08997268229722977,678.671875
b1,40000,2,4,2,2,320.125,121.27313232421875,-0.8363330960273743,-0.8363330960273743,0.20874999463558197,-1.1279935836791992,0.0829104632139206,664.84375
b1,40000,2,5,2,2,316.40625,121.32313537597656,-1.5087116956710815,-1.5087116956710815,0.13437499105930328,-1.7249970436096191,0.0819104015827179,667.984375
b1,40000,2,6,2,2,309.09375,119.92662811279297,-2.222113609313965,-2.222113609313965,-0.011874999850988388,-2.3200793266296387,0.10984054207801819,657.2109375
b1,40000,2,7,2,2,244.03125,141.78868103027344,-4.814699649810791,-4.814699649810791,-1.3131250143051147,-3.1741738319396973,-0.3274005055427551,602.8359375
b1,40000,2,8,2,2,217.0625,138.92959594726562,-6.4626665115356445,-6.4626665115356445,-1.8524999618530273,-4.339947700500488,-0.2702188193798065,608.1328125
b1,42000,6,2,2,2,46.90625,18.70220375061035,0.0,0.0,0.0,-0.0,-0.0,
b1,42000,6,3,2,2,43.96875,21.644115447998047,-1.1853148937225342,-1.1853148937225342,-0.05874999985098839,-1.0677266120910645,-0.05883823335170746,
b1,42000,6,4,2,2,38.65625,23.819122314453125,-2.9532852172851562,-2.9532852172851562,-0.16499999165534973,-2.6859469413757324,-0.10233836621046066,
b1,42000,6,5,2,2,29.8125,17.070510864257812,-3.8729517459869385,-3.8729517459869385,-0.34187498688697815,-3.5637104511260986,0.03263385593891144,
b1,42000,6,6,2,2,27.90625,17.688907623291016,-4.8056182861328125,-4.8056182861328125,-0.3799999952316284,-4.4458842277526855,0.02026592195034027,
b1,42000,6,7,2,2,20.875,24.977176666259766,-6.174246311187744,-6.174246311187744,-0.5206249952316284,-5.5281219482421875,-0.12549945712089539,
b1,42000,6,8,2,2,13.59375,18.998123168945312,-7.073884010314941,-7.073884010314941,-0.6662499904632568,-6.401715278625488,-0.00591838825494051,
b1,44000,6,2,2,2,33.625,17.863632202148438,0.0,0.0,0.0,-0.0,-0.0,79.2578125
b1,44000,6,3,2,2,37.5,16.83745765686035,-1.1409016847610474,-1.1409016847610474,0.07750000059604645,-1.2389252185821533,0.020523490384221077,83.984375
b1,44000,6,4,2,2,39.09375,19.526199340820312,-2.7669379711151123,-2.7669379711151123,0.109375,-2.843061685562134,-0.03325134143233299,92.9375
b1,44000,6,5,2,2,29.03125,14.442741394042969,-3.4714269638061523,-3.4714269638061523,-0.09187499433755875,-3.447969675064087,0.06841781735420227,77.234375
b1,44000,6,6,2,2,23.8125,13.675793647766113,-3.993109941482544,-3.993109941482544,-0.19624999165534973,-3.8806166648864746,0.08375676721334457,67.4453125
b1,44000,6,7,2,2,23.4375,12.658834457397461,-4.457790851593018,-4.457790851593018,-0.20374999940395355,-4.3581366539001465,0.1040959507226944,67.546875
